Review	Original	Predicted	NIST	BLEU	METEOR
o talher é todo vermelho sem os desenhos da foto propaganda enganosa vou devolver 	diferente da foto 	 não gostei	0.0	0	0.0
bonito e prático é exatamente como na foto veio intacto 	gostei bastante 	 ótimo produto	0.0	0	0.0
fácil configuração estável ótimo alcance 	cumpre o que promete 	 muito bom	0.0	0	0.0
muito lento só recomendo se for para o básico caso contrario é melhor optar por outro 	produto basico 	 bom	0.0	0	0.0
pena que ainda não a recebi estava marcada para o dia mas até agora não chegou uma lástima mas assim que chegar volto para dar minha opinião 	ainda não não recebi infelizmente 	 muito bom	0.0	0	0.0
achei o produto excelente perfeito a bateria tem uma duração ótima muito lindo chegou muito rápido fácil de se aspirar ao que ele oferece em todos aspectos amei recomendo a quem tiver procurando um bom aparelho 	excelência 	 amei	0.0	0	0.0
fiz a troca e ao invés de mandar outro ou devolver o dinheiro recebi um vale qro meu dinheiro de volta 	produto com defeito 	 não recebi o produto	0.3962406251802891	0.08034284189446518	0.16129032258064518
adorei a fralda não vaza tem o toque suave ótima experiencia com a nova huggies 	excelente produto 	 excelente livro	0.5	0.1495348781221221	0.25
sempre fui bem atendida não tenho nada que reclamar 	gostei muito 	 muito bom	0.5	0.1495348781221221	0.25
como eu escrevi no título adora a mamadeira da só não coloquei excelente pq não foi o do desenho de q tá na foto q eu queria mas o produto é top e chegou rapidinho 	adoro a mamadeira da 	 melhor custo benefício	0.0	0	0.0
eu amei o carrinho achei bem bonitinho qualidade muito boa e ainda veio com uma bonequinha de brinde gostei da intenção da empresa no propósito de satisfazer os clientes entrega super rápida bem antes do previsto recomendo o produto e a loja super satisfeita com a compra 	gostei muito do produto 	 excelente	0.0	0	0.0
equipamento excelente e com a entrega muito rápida 	excelente e entrega rápida 	 excelente	0.0006054454407892032	0.008853531856477262	0.13513513513513511
o produto em si não é ruim porém poderia ser um pouco melhor poderia ter um reforço no forro como outras mochilas que já tive embora tenha o reforço do cabo de aço poderia um acabamento melhor no interior com material de melhor qualidade 	razoável 	 não gostei	0.0	0	0.0
adorei o produto muito bom recomendaria pra outras pessoas 	muito bom 	 ótimo produto	0.0	0	0.0
muito prático e fácil de usar chegou bem antes do programado 	prático 	 ótimo produto	0.0	0	0.0
a panela é incrível dá pra fazer kg de feijão com tranquilidade 	nota 	 excelente	0.0	0	0.0
se considerarmos o custo benefício apenas atende bem se quiser algo mais silencioso e eficiente vc vai ter que comprar uma máquina um pouco mais cara 	é um bom produto 	 bom	0.0006054454407892032	0.008853531856477262	0.13513513513513511
muito bom recomendo dias dps da compra chegou como sempre mt bom loja americanas excelente 	muito bom 	 excelente	0.0	0	0.0
além do produto estar em ótimas condições o prazo foi muito bom 	produto excelente 	 excelente	0.1319049988210938	0.06541924356118012	0.2631578947368421
o produto em si e ótimo realmente é oq eu queria e chegou rápido ponto negativo o controle foi um custo para tirar a tampa dele tive que fazer mt força medo até de quebrar e até hoje não consegui encaixar a tampa deve tá com algum defeito não tem 	produto atende as expectativas 	 muito bom	0.0	0	0.0
a capa não coube no celular possivelmente o produto não compatível o que torna minha terceira avaliação negativa em relação as americanas 	capa 	 não gostei do produto	0.0	0	0.0
adoro o perfume mas não tive sorte na compra neste site porque a fixação é péssima 	péssima fixação 	 não gostei	0.0	0	0.0
produto atendeu às expectativas inclusive o prazo de entrega recomendo 	eficiente 	 ótimo produto	0.0	0	0.0
muito bom comprei e compro outro excelente você não comprou esta perdendo tempo 	dez 	 excelente	0.0	0	0.0
prático e eficaz sem muito comentário além do que foi dito obrigada 	gostei 	 excelente	0.0	0	0.0
a entrega foi em um prazo menor que o combinado e chegou sem avarias o produto é muito bom de fácil adaptação se você veio de outras marcas e tecnologias destaque para a tv digital que é muito nítida e com ótima resolução 	produto de qualidade 	 muito bom	0.0	0	0.0
o produto é muito bom porém o fornecedor enviou o produto sem proteção nenhuma chegou todo arranhado ainda as etiquetas do correio no próprio produto trabalho extra de conseguir tirar a cola das etiquetas que ficaram no cabo descaso total com o cliente 	chegou danificado 	 produto não chegou	0.3333333333333333	0.11362193664674995	0.2380952380952381
mal acabado parafusos aparentes sem verniz e madeira de baixa qualidade 	péssima qualidade 	 não gostei	0.0	0	0.0
bom dia gostaria de saber se vem acompanhado o balcão 	bom 	 não é o produto de uso	0.0	0	0.0
amei esse aparelho de jantar é lindo material resistente e é branquinho sim achei ainda mais bonito que nas fotos pelo valor que paguei r compensa muito 	lindo e resistente 	 amei o produto	0.0	0	0.0
produto aparentemente de boa qualidade material parece resistente possui bastante espaço a entrega foi demasiado demorada 	bom produto 	 ótimo produto	0.5	0.1495348781221221	0.25
quando coloco para pesar as vezes ela desliga ou entao nao volta ao zero sei lá se é assim mesmo ou algum defeito 	normal 	 não gostei	0.0	0	0.0
produto adequado confome descrito qualidade muito boa entrega muito rápida 	mto satisfeita 	 bom	0.0	0	0.0
manda o produto errado não dar satisfação alguma de quando vai te reembolsar mesmo já estando com o produto devolvido uma palhaçada 	uma porcaria de loja 	 produto errado	0.0	0	0.0
produto de boa qualidade melhor custo beneficio do mercado foi feito adaptações para instalar ao lado do tampão traseiro do gol g então recomendo verificar o tamanho correto antes de comprar 	recomendo 	 muito bom	0.0	0	0.0
não é capaz de refrescar um ambiente pequeno como um dormitório 	não refresca como esperado 	 bom	0.0	0	0.0
muito confortavel grande e a entrega foi muito rápida 	excelente 	 excelente	0.0	0.1778279410038923	0.5
datas de entrega e aparelho muito bons descrição do produto que consta do site está realmente condizente com o aparelho entregue e sua integridade 	hd externo seagate 	 bom	0.0	0	0.0
na propaganda diz que vem com câmera frontal mas não tem 	sem câmera frontal 	 não é o produto de uso	0.0	0	0.0
gostei muito do produto e não esperava que fosse tão bom quanto é adorei estão de parabéns 	surpreendeu as expectativas 	 ótimo produto	0.0	0	0.0
boa noite minha sandália além de chegar com muito atraso ainda veio estou bem chateada 	veio com defeito 	 não recebi o produto	0.0	0	0.0
está tudo certo vamos comprar mais em breve o produto é muito bom estamos satisfeitos fomos bem atendidos muito obrigado 	muito bom 	 excelente	0.0	0	0.0
eu comprei pq conheço o produto mas se a validade não for até eu vou devolver 	tem que vir a validade na hora da compra 	 produto errado	0.0	0	0.0
prático para montar fácil de higienizar e de bom desempenho amei 	muito prático 	 ótimo produto	0.0	0	0.0
bem macio e felpudo recomendo preço imbatível e entrega rápida compraria outro quando precisar 	bom e barato 	 bom	0.00977286494181979	0.024066394763145416	0.17857142857142855
atendimento excelente recebemos dias após o pagamento bem embalado livro excelente encadernação muito boa 	gostei muito do produto 	 excelente	0.0	0	0.0
é lindo não é de excelente qualidade mas é otimo para a criança ir para a escola 	otimo 	 excelente	0.0	0	0.0
muito bom comprei e percebi menos de pelo solto 	qualidade do original 	 bom	0.0	0	0.0
muito bom ótima qualidade adorei o produto entrega boa 	adorei 	 ótimo produto	0.0	0	0.0
produto veio defeituoso solicitarei a americanas com uma resolução 	produto veio defeituoso 	 não é o produto de uso	0.26416041678685936	0.040824829046386304	0.15151515151515152
produto de qualidade bem ruim madeira ruim gaveta feia frágil e com sistema de correr bem relaxado duas fitas para serem por porco pelo preço da mesa a embalagem não vei bem protegida portanto as avarias que encontrei no produto podem ter sido no transporte 	baixa qualidade 	 gostei	0.0	0	0.0
na questão de entrega do produto dentro do prazo recolhimento do produto com defeito também agilidade e atendimento tudo certo pena o aparelho estar com defeito mas vou voltar a comprar 	produto veio com 	 gostei do produto	0.5283208335737187	0.11362193664674995	0.16666666666666666
é um bom produto mais algumas vezes o café sai com um pouco daquele pó mais fino uma dica boa é usar café solúvel ao invés de café comum pra mim aqui funcionou bem aquece rápido e o café sai quentinho 	cumpre o que promete 	 bom	0.0	0	0.0
o jogo em sí é ótimo porém alguns dados de vieram com defeito na cor no qual não estava por inteiro 	pequeno defeito 	 bom	0.0	0	0.0
já conhecia os produtos são bons bem suaves para os cabelos limpa e hidrata deixando o cabelo levinho e com sensação de limpeza refrescante não são extremamente são para quem está com cabelos saudáveis o condicionador é muito bom para passar depois da com óleo tipo co fica bem limpinho 	compro direto 	 excelente	0.0	0	0.0
produto de papelão péssima qualidade para colocar a pilha os ponteiros já quebraram vergonha a americanas vender isso 	péssimo 	 não é o dinheiro de uso	0.0	0	0.0
excelente produto ótima construção e funcionalidade muito rápido entrega antes do prazo 	excelente produto 	 excelente	0.1319049988210938	0.06541924356118012	0.2631578947368421
realmente o iphone vale a pena roda liso a bateria duro muito 	sensacional 	 muito bom	0.0	0	0.0
bom preço e bom desempenho para quarto pois resfria bem o ambiente 	bom produto 	 bom	0.1319049988210938	0.06541924356118012	0.2631578947368421
excelente produto recomendo a todos o produto e o vendedor 	muito bom produto 	 excelente	0.0	0	0.0
a entrega foi muito rápida produto de excelente qualidade gela rápido e não faz barulho 	produto excelente 	 excelente	0.1319049988210938	0.06541924356118012	0.2631578947368421
vale muito apena entrega top produto perfeito e lindo 	otimo 	 excelente	0.0	0	0.0
comprei esse microondas na black friday e depois que eu paguei o boleto vocês confirmaram a compra e simplesmente a venda alias péssimo serviço de atendimento por mais que resolver as coisas nunca se resolve quero meu dinheiro de volta 	vocês não o microondas 	 péssimo	0.0	0	0.0
srs como assim avaliar produto se nem os recebi nem para saber q não recebi nada ainda vcs tem 	me uma avaliação para a americanas 	 não recebi o produto	0.0	0	0.0
pedi preto veio branco é o produto chegou depois de dias de atraso 	pelo valor da para o gasto 	 não recebi o produto	0.32312031259014445	0.04873039689743777	0.08620689655172413
produto maravilhoso atende as necessidades e a qualidade é excelente 	produto excelente 	 excelente	0.1319049988210938	0.06541924356118012	0.2631578947368421
o produto nao carrega nenhum tipo de motorola ele nao funciona 	ruim 	 não gostei	0.0	0	0.0
excelente imagem controle fácil de utilizar recomendo o produto e marca excelentes 	muito boa 	 ótimo produto	0.0	0	0.0
recomendo produto atendeu minhas expectativas chegou antes do prazo tudo certo 	gostei do produto 	 ótimo produto	0.39624062518028896	0.09069748827745895	0.17241379310344826
muito bom adorei entrega rápido e eficaz parabéns a loja americana continuar assim 	gostei muito 	 excelente	0.0	0	0.0
produto muito bonito e com uma ótima qualidade chegou bem antes do prazo entre pela sintonia digital super recomendo 	produto de qualidade 	 excelente	0.0	0	0.0
gostei muito do aparelho entrega dentro do prazo chegou ate antes da data limite otimo 	muito bom 	 ótimo produto	0.0	0	0.0
bom produto faz o que se propõe para família pequena tipo um casal é muito boa 	cafeteira 	 ótimo produto	0.0	0	0.0
muito bom o custo x benefício e principalmente resolução da câmera e da tv 	j prime tv 	 muito bom	0.0	0	0.0
que valor é esse em uma peça desta revejam o preço por gentileza o preço não condiz 	preço 	 muito bom	0.0	0	0.0
estou mr adaptando ao produto bem pois sinto muitas dores 	um de cada vez 	 produto não chegou	0.0	0	0.0
otimo produto excelente boa duração da bateria fácil de manusear 	excelente 	 ótimo produto	0.0	0	0.0
deixou a desejar na resolução da tela a do que disseram é bem ruim tem um péssimo controle de luz alguns apps do próprio sistema travam as vezes no demais é um aparelho bom se comparado ao lenovo k normal ele perde e muito 	bom 	 frágil	0.0	0	0.0
produto entregue na data sendo o mesmo de ótima qualidade 	excelente 	 ótimo produto	0.0	0	0.0
o celular chegou antes do prazo e meu esposo gostou muito pois é prático para quem deseja só receber e fazer ligações recomendo 	ótimo 	 ótimo produto	0.0	0.1495348781221221	0.45454545454545453
chegou antes do prazo ótimo produto vale a relação custo benefício 	excelente produto 	 muito bom	0.0	0	0.0
o produto correspondeu às minhas expectativas recomendo a compra 	satisfeito 	 gostei muito do produto	0.0	0	0.0
entrega rápida e produto além das expectativas fixação boa satisfeitíssima 		 amei			
ainda não usei muito mas me parece bom e potente 	microondas 	 bom	0.0	0	0.0
a camera frontal e muito boa e ainda vem com um bastao de selfie o celula foi feito pra quem gosta de tirar foto 	bom e vem com bastao 	 excelente	0.0	0	0.0
gostei muito funciona como no manual testei e o produto funciona normalmente 	recomendo 	 gostei do produto	0.0	0	0.0
ótimo qdo quebra só uma peça do mixer não precisa comprar o produto inteiro de novo 	ótimo produto de 	 muito bom	0.0	0	0.0
toda vez que voces anuncia esse produto eu tento comprar mas não tem o produto disponivel lamentavel isso 	xxxxxx 	 nao recebi o produto	0.0	0	0.0
produto muito bom celular rápido bateria ótima e a câmera de qualidade muito boa adorei o celular ótima aquisição e custo bem acessível 	produto perfeito 	 excelente	0.0	0	0.0
porém quando recebi os livros não está embalados com o plástico e estavam marcados já comprei em outras lojas e sempre vem com o plástico 	super indico 	 preço dos ser melhor	0.0	0	0.0
produto é de otima qualidade recomendo para quem quiser comprar 	ótima qualidade 	 gostei muito do produto	0.0	0	0.0
ótimo produto prazo de entrega feito como prometido e produto sem danos amei 	perfeito 	 excelente	0.0	0	0.0
gostei muito do moto g s e recomendo muito bom mesmo 	muito bom 	 ótimo produto	0.0	0	0.0
muito bom e as escovas são ótimas o cabelo é de boa qualidade e comprimento ótimo para treinar vários penteados 	adorei 	 excelente	0.0	0	0.0
com a primeira carga a fonte não funcional mais quando recebi o a fonte não funcional 	péssimo produto 	 não gostei	0.0	0	0.0
produto excelente e a entrega muito rápido 	vale a pena comprar 	 excelente	0.0	0	0.0
o produto atende às expectativas e oferece aquilo que foi anunciado 	òtimo 	 bom	0.0	0	0.0
chegou antes do tempo esperado além de prático o berço é muito bonito 	boa qualidade atendeu a expectativa 	 ótimo produto	0.0	0	0.0
ótima qualidade bom preço é fácil acessibilidade super recomendo 	amei o computador 	 muito bom	0.0	0	0.0
gostei do tamanho e das cores agradou muito a menina de ano e meio 	excelente acabamento 	 muito bom	0.0	0	0.0
prático e muito versátil boa autonomia e carregamento rápido recomendo 	ótimo produto 	 excelente	0.0	0	0.0
indico o vendedor pela rapidez na entrega e qualidade do produto 	gostei muito do produto 	 produto de qualidade	0.4702928248875754	0.0814136751754278	0.12820512820512822
produto muito bom nada a reclamar recomendo a todos que tiverem interesse 	otimo produto 	 muito bom	0.0	0	0.0
so que pedir preto e veio branco mesmo assim fiquei satisfeita chegou antes do prazo esperado 	muito bom e fácil de 	 muito bom	0.06737684726645765	0.07055995207471726	0.39893617021276595
simples mas muito prático recomendo faz tudo que qualquer outro faz 	bom 	 excelente	0.0	0	0.0
chegou no tempo estimado bem embalado livro excelente e lindo 	livro lindo 	 excelente	0.0	0	0.0
