Review	Original	Predicted	NIST	BLEU	METEOR
o aparelho deixa a desejar em alguns aspectos , com: leitor de digital , câmera e processador .	o produto é bom .	bom custo benefício	0.2575878126341961	0.05833544737207805	0.10416666666666666
expeliarmus wingardium leviosaaa expectro patrono to na conta da minha mãe	gostei do exemplo	muito bom	0.0	0	0.0
gostei muito do produto ! e outros conhecidos também gostaram !	termômetro	goste muito	0.0	0	0.0
adorei . atendeu todas as minhas expectativas . muito satisfeita .	super indico esses produtos .	excelente	0.0	0	0.0
gostei bastante do notebook , mas acredito que poderia mais rápido .	muito bom !	goste bastante	0.0	0	0.0
produto funciona como o original da gree , além de esteticamente também ser igual ao original .	gostei !	produto de	0.0	0	0.0
o bebê fica bem confortável as cores são lindas e o berco se adapta legal a um espaço no quarto .	muito bom	goste muito	0.5	0.1495348781221221	0.25
tive a infelicidade de comprar devido a uma promoção . primeiro o carregador não funcionou , pedi a troca a americanas , alegaram que não tinha mais em estoque e reembolsaram o valor , segundo o tal pop phone veio sujo , de branco estava marrom com uma crosta de poeira grudada . péssima qualidade .	não comprem péssimo				
podia ter v . forno muito simples , bonito , mas só v em um forno a gás e lamentável .	forno bem simples	forno muito	0.39624062518028896	0.09069748827745895	0.17241379310344826
produto de ótima qualidade entregue dento do prazo em perfeito estado gostei muito do produto	conforme combinado	goste muito	0.0	0	0.0
produto cumprido com todos os aspectos desejados . lindo	ótimo	excelente	0.0	0	0.0
quando chegam , ficamos meio assustadas por serem bem pequenos ! mas amei os meus potes: são fortes , pesados e parecem duráveis ! e são lindos !	excelente !	amei !	0.5	0.1495348781221221	0.25
produto excelente . só faltou vir com cabo de hdmi . o prazo para entrega , ta demorando muito . antes a americanas entregava em três a quatro dias úteis .	produto excelente	excelente	0.1319049988210938	0.06541924356118012	0.2631578947368421
fiz a compra no dia // e infelizmente estou aguardando até hoje .  de janeiro de  . não posso avaliar porque até hoje não recebi o produto . achei que o mesmo chegaria até o natal mas até hoje não recebi . uma pena . total falta de respeito .	infelizmente até hoje não recebi	não recebi	0.06737684726645765	0.07055995207471726	0.39893617021276595
o aparelho vem na caixa e com os acessórios ? ele vem formatado ?	dúvida	du du	0.0	0	0.0
exatamente como foto , entrega dentro do período satisfeita	excelente	goste muito	0.0	0	0.0
ótima para carregar tudo que é nescessario para o dia a dia .	mochila mto prática .	excelente	0.0	0	0.0
eu comprei para o meu sobrinho mais particularmente nao gostei achei muito seca dura não tem estofado apenas uma capa bem fina para viagens longas isso deve ser uma tortura para a criança e o encosto fica muito enclinado para a frete achei bem desconfortavel	cadeira para auto	muito ruim	0.0	0	0.0
cachos maravilhosos e duradouros , super recomendo !	produto excelente !	maravilhos	0.0	0	0.0
gostei muito do produto . e lindo , design moderno , excelente forno e queimadores . dá um pouco de trabalho para limpar a parte da mesa de vidro que suja muito fácil . mas é igual aos cookie tops tradicionais . super recomendo !	lindo e eficiente	ótimo produto	0.0	0	0.0
o disco de fatiar não é bom para batata , fica muito fina e ao fritar gruda na panela mesmo com óleo bem quente .	rápido e pratico	não goste	0.0	0	0.0
ola , bom dia ! recebido corretamente . muito obrigada !	notebook	goste muito	0.0	0	0.0
produto bastante didático , adequado para crianças . recomendo o produto	produto muito bom	muito bom	0.7924812503605779	0.19180183554164504	0.6465517241379309
produto de marca qualidade excelente não fica apitando como outras marcas vem com bateria recarregável junto simples e completo recomendo este aparelho pelo custo e pela utilidade feliz pela compra .	satisfeito	excelente produto	0.0	0	0.0
estou muito satisfeito com o que recebi quanto no produto quanto no prazo de entrega parabens	gostei muito do produto	goste muito	0.1319049988210938	0.05501080739920602	0.13157894736842105
melhor custo beneficio sem contar na fragancia maravilhosa e marcante deste perfume .	ótimo	maravilhos	0.0	0	0.0
celular top - recomendo mil vezes ! que tecnologia !	celular top - recomendo mil vezes !	top	3.272379562155723e-07	0.0004407913958354948	0.078125
ótimo liquidificador , muito potente excelente compra	ótima escolha	ótimo produto	0.0	0	0.0
bota bem confortável , igual ao anúncio , fiquei satisfeita com a compra . chegou antes do prazo estipulado pelo fornecedor . parabéns lojas americanas , sempre vendendo qualidade !	produto ótimo	ótimo produto	1.0	0.1778279410038923	0.5
o custo do aparelho em relação ao benefício obtido , tem uma ótima relação muito bom !	galaxy j prime  .  - um bom aparelho celular	ótimo custo	0.0	0	0.0
amei . produto de ótima qualidade e veio bem embalado	amei chegaram hoje dia  de março	ótimo produto	0.0	0	0.0
na verdade é pequeno , é um aspirador de mão com um alongador que transforma em um aspirador em pé , mas é bem potente , apesar de não ser grande estou bem satisfeito , ótimo pra limpar os pelos dois meus cachorros , ótimo pra limpar o sofá .	pequeno mas é potente	ótimo produto	0.0	0	0.0
o produto chegou antes do prazo e em perfeita qualidade !	entrega antes do prazo	excelente produto	0.0	0	0.0
achei confortável , design grande , pelo numero ser  não ficou apertado , ajustou perfeitamente aos meus pés .	gostei	goste do	0.0	0	0.0
foi entregue antes do prazo , não apresentou nenhum defeito até agora ! recomendo muito	melhor custo benefício	goste muito	0.0	0	0.0
funciona mto bem a parte de misturar mas o produto parou de funcionar depois de utilizar umas x . e não foi só uma , foram comprados  canecas e apenas  estão funcionando .	falta durabilidade	produto bom	0.0	0	0.0
não é possível fazer avaliação pois o produto não chegou	o produto não chegou	não chegou	0.2638099976421876	0.11633369384516798	0.4934210526315789
estou muito satisfeito , produto chegou conforme o combinado e na data certa .	produto muito bom ! recebi conforme o combinado .	goste muito	0.00011420984884413996	0.004515562049663387	0.06024096385542168
eficiência na entrega , apesar de indicar quase  dias , chegou em  e estou muito satisfeito com o parceiro mandialli . a luva muito bonita , confortável , ótimo acabamento . começo os treinos na semana que vem , depois complemento a avaliação no uso .	ótima compra	excelente produto	0.0	0	0.0
a princípio , fiquei preocupada ! pois , vi uma igual por quase o dobro do preço . mas , como é através do site da americanas , dei um voto de confiança . e valeu a pena !	amei a overloque !	muito bom	0.0	0	0.0
não recebi o produto ainda , faz mais de  dias que comprei e até hoje dia // , não recebi , a empresa responsável , tudo lar , mandou um código inexistente no site dos correios e a empresa americanas não me dá retorno satisfatório . gostaria de uma resposta urgente .	quero meu produto , ainda não recebi	não recebi	0.003754937574367746	0.025957555738330737	0.28846153846153844
comprei o referido produto para minha esposa que adorou . achou prático e fácil de usar , bem como seu tamanho perfeito para levar em viagem , ela recomenda a compra do produto .	excelente aquisição	ótimo produto	0.0	0	0.0
gostei muito ! gráficos modernos , parece um filme . recomendo !	excelente game !	ótimo produto	0.0	0	0.0
produto de qualidade e bom acabamento . parabéns a equipe . fábio batista .	exelente	produto de	0.0	0	0.0
antes eu usava fone pequeno , e sempre que queria escutar uma música mais alta , as pessoas ao lado acabavam ouvindo . agora ouço no ultimo volume e ninguém percebe nada . quando quero ver um filme dentro do metrô , consigo escutar super de boa , sem ter que fazer nenhum esforço .	produto ótimo	muito bom	0.0	0	0.0
fácil de utilizar , mas em cabelos bem cacheados não apresenta o mesmo efeito de uma escova tradicional .	muito bom !	produto bom	0.39624062518028896	0.09069748827745895	0.17241379310344826
ótima leitura para quem leva tudo na ponta da faca e é estressado .	excelente leitura .	ótimo	0.0	0	0.0
meu produto é maravilhoso . chegou no prazo e a qualidade é perfeita . super indico a compra no site da americanas .	meu produto é excelente . super amei .	excelente	3.626373597341106e-08	0.00016215809237314185	0.0684931506849315
os pontos de fixação dos parafusos são grosseiramente desalinhados . o extensor fica todo torto , os parafusos não encaixam com facilidade . produto muito ruim .	os encaixes não são alinhados .	produto muito	0.0	0	0.0
os bordados descritos no produto não são os bordados da colcha - produto muito caro e não atendeu a expectativa nem a necessidade	propaganda enganosa	não goste	0.0	0	0.0
vale o quanto paguei , bom produto . fácil de colocar e conserva o banco original intacto .	bom e barato	bom produto	0.39624062518028896	0.09069748827745895	0.17241379310344826
aparentemente o produto apresenta boa qualidade , não se esquecendo de utilizar de forma correta	exelente produto	bom produto	0.5	0.1495348781221221	0.25
o guarda-roupa chegou bem antes do prazo , mas com o espelho quebrado . até o momento não recebi informações de como proceder para a troca , embora a entrega não tenha sido feita por minha decisão . não aceitei , uma vez que estava com o espelho quebrado .	espelho quebrado	não goste	0.0	0	0.0
produto exercente e entrega antes do prazo . amei o serviço	gostei muito do produto	excelente	0.0	0	0.0
aparelho muito bonito , principalmente na cor ametista , tela com um brilho espetacular , processa muito rápido e a qualidade das câmeras não deixa a desejar a nenhum topo de linha . vale muito à pena adquirir , principalmente quem não deseja gastar o preço de um top para ter um celular de muita qualidade .	intermediário com requinte premium	excelente custo	0.0	0	0.0
chegou em perfeito estado e mais rápido do que o previsto	adorei o produto	goste muito	0.0	0	0.0
é maravilhoso para dores musculares , alivia muito não sendo necessário tomar remédios .	dor musular .	maravilhos	0.0	0	0.0
a único problema dela é que o super filtro não funciona eu tinha uma brastemp antiga com filtro pequeno e enchia de fiapos essa não capta os fiapos ficando tudo nas roupas	gostei	goste muito	0.0	0	0.0
gegou antes do prazo e a qulidade é exelente , sem falar que a bateria dura bastante , super recomendo !	amei o fone de ouvido !	ótimo produto	0.0	0	0.0
o produto veio incompleto . falta o cabo . gostaria que vcs providenciassem o envio do cabo o mais rápido possível .	falta o cabo	falta o cabo	1.5849625007211563	0.5623413251903491	0.9814814814814815
coloquei no carro fico torto na ponta não troquei pq é muito transtorno pra devolver ou trocar	coloquei no carro fico torto na ponta	não goste	0.0	0	0.0
não tenho do que reclamar . celular excelente e entrega super rápida !	amando o meu moto z play	excelente	0.0	0	0.0
o produto nao funciona , tentei contatar a loja para reclamar , nao obtive resposta , e o produto nao oferece assistencia tecnica . pessimo .	nao funciona	produto na	0.0	0	0.0
recomendo a todos vale a pena produto bom e de qualidade	excelente	muito bom	0.0	0	0.0
excelente smartphone , ótima câmera , acabamentos de qualidade , não trava , muito bonito .	excelente	excelente s	0.0	0.1495348781221221	0.45454545454545453
este produto me surpreendeu , pois gostei muito e recomendo para meus outros amigos que tenho .	valeu apenas .	goste muito	0.0	0	0.0
rapida entrega , muito bom rapido as passagens de dados pen drive maravilhoso , ainda compro mais dele , ambas qualidades  estrelas ou mais	excelente	otimo	0.0	0	0.0
não tenho do que reclamar , produto ótimo , chegou no prazo .	produto muito bom	ótimo	0.0	0	0.0
ela vem com nota fiscal ? regularizada , com tudo ok ?	pergunta .	nota fiscal	0.0	0	0.0
excelente esponja em tamanho reduzido para aplicar corretivo na área das olheiras , funciona ainda melhor molhada !	ótima	excelente	0.0	0	0.0
muito bem atendido atendeu a expectativa fui atendido com rapidez e eficiência	muito bom !	muito bom	0.7924812503605779	0.19180183554164504	0.6465517241379309
produtos bons , corresponderam as minhas expectativas . recomendo a compra	gostei do produto	goste muito	0.0	0	0.0
ótimo e prático ! uso todos os dias e recomendo muito , cápsulas fáceis de achar e muitas variedades de sabores .	gostei muito !	ótimo	0.0	0	0.0
comprei e não me arrependo . um excelente smartphone e que atende as necessidades da atual tecnologia da conectividade .	muito confiável .	excelente s	0.0	0	0.0
gostei dos pratos . já tinha alguns de outro jogo . achei os pratos rasos meio empenados , mas está tudo bem !	bonitos	goste muito	0.0	0	0.0
o berço tem falhas no acabamento das traves laterais que podem ferir o bebê . encaixes não são tão bons , nem colocando mais cola do que o normal uma das partes de cima não colou .	sem cuidado necessário para o uso por bebês	berço muito	0.0	0	0.0
ótimo custo/benefício para um equipamento profissional de qualidade !	ótimo !	ótimo custo	0.5	0.1495348781221221	0.25
livro muito bom e ainda vem com um ótimo conteúdo de atualizacão !	ótimo produto !	ótimo	0.00977286494181979	0.024066394763145416	0.17857142857142855
entrega perfeita , produto correspondeu ao que foi pedido e informado , indico sem medo de ser feliz . muito obg	simplesmente perfeito	excelente	0.0	0	0.0
um jogo interessante que ajuda a despertar nosso raciocínio , recomendo a todos que gostam de jogos que utilizam a mente para realizar manobras , quebra-cabeça , etc .	recomendo	jogo muito	0.0	0	0.0
produto excelente , chegou antes do prazo e não teve nenhuma avaria no transporte .	o produto era realmente o que eu precisava	excelente	0.0	0	0.0
pq quando coloco pra comprar esse produto ela joga pra  ,  no volts  ?	valores	não goste	0.0	0	0.0
pensei que tinha jato forte , infelizmente não teve . se desse de devolver eu ficaria muito feliz .	não funciona , não gostei .	não goste	0.004886432470909895	0.020237345084409754	0.08928571428571427
produto muito bom entrega antes do combinado pode comprar sem medo !	muito bom ótima qualidade !	goste muito	0.033688423633228826	0.03336574130316504	0.10638297872340426
¨¨¨¨¨¨ainda não recebí o produto¨¨¨¨¨¨¨¨ , quando usar aviso para voces	não testei ainda	não recebi	0.39624062518028896	0.09069748827745895	0.17241379310344826
ótimo produto recomendo e um rápido atendimento de entrega .	fogão muito bom .	ótimo produto	0.0	0	0.0
o produto é excelente , de ótima qualidade e novinho em folha !	entrega antes do prazo previsto !	excelente	0.0	0	0.0
o produto veio na mais perfeita ordem ! já utilizei e recomendo pra qualquer um .	produto de ótima qualidade	excelente	0.0	0	0.0
produto muito bom , recomendo . chegou rápido e sem problemas .	gostei do produto .	goste muito	0.0	0	0.0
comprei a  dias e não chega a compra , me arrependi de ter comprado	compra não chega	não compre	0.39624062518028896	0.09069748827745895	0.17241379310344826
quero sabee se er o iphone  plus ? pq nao tem falando se er o plus .	curiosidade	du du	0.0	0	0.0
agora posso ficar tranquilo quando viajo e não necessito mais ficar atento ao consumo dos aparelhos portáteis . valeu .	gostei muito do carregador	goste muito	0.1319049988210938	0.05501080739920602	0.13157894736842105
gostei muito e recomendo . tv muito boa , superou minha expectativa . foi difícil achar uma boa tv com polegadas . quem comprar não vai se arrepender .	qualidade da tv maravilhosa	tv muito	0.1319049988210938	0.05501080739920602	0.13157894736842105
muito bom ! memória expandida . atendeu todas as minhas expectativas .	produto excelente	ótimo produto	0.5	0.1495348781221221	0.25
a piscina é do tamanho de uma caixa de sapato , a decepção foi a bóia que não serve na boneca barbie . mas minha filha amou a sandália .	linda	piscina	0.0	0	0.0
gostamos muito dos pneus , são de ótima qualidade e a entrega também foi rápida , chegou antes do prazo .	gostamos muito do produto !	ótimo produto	0.033688423633228826	0.03336574130316504	0.10638297872340426
bom produto , muito resistente ! as cores são ótimas , agradou bastante .	minha afilhada ficou muito feliz com o presente !	goste muito	0.00011420984884413996	0.004515562049663387	0.06024096385542168
escolham melhor seus parceiros uma coisa horrível parceiro sem compromisso	não recebi	hor	0.0	0	0.0
gostei desse produto e do valor esse é o diferencial das outras lojas	muito bom	goste muito	0.5	0.1495348781221221	0.25
eu queria saber se esse pc é confiável pq tenho muito medo de vir outra coisa ou vir todo quebrado	alguém já compro esse pc ?	não é confiável	0.0	0	0.0
não efetuaram a entrega do produto . um mês após a confirmação do pagamento apenas disponibilizaram a opção de devolução .	o produto não chegou !	não recebi	0.033688423633228826	0.03336574130316504	0.10638297872340426
o produto chegou bem antes do esperado tudo certinho . filme clássico ameiiii o dvd veio com luva a dark side mandou bem . tem dublagem clássica e audio original em  .	ótimo filme	d	0.0	0	0.0
ótimo produto , panelas perfeitas , tamanho de acordo com o que eu precisava , simplesmente amei .	adorei o produto	ame	0.0	0	0.0
ótima compra . entrega como sempre rápida . eu amo comprar na americanas . com	gostei bastante do produto . lindo	ame	0.0	0	0.0
bom custo benefícios , recomendo . a todos , caso precise .	bom	bom custo benefícios	0.0	0.11362193664674995	0.4166666666666667
embora o tempo de entrega tenha demorado um pouco , o produto é muito bom e chegou perfeito !	atingiu minhas expectativas	goste muito	0.0	0	0.0
atendeu o que eu precisava mais poderia ter mais fotos do produto	atendeu minha necessidade	goste	0.0	0	0.0
ótimo preço e uma qualidade muito boa ! até agora , só elogios , pois está correspondendo as minhas expectativas .	excelente produto	ótimo produto	0.5	0.1495348781221221	0.25
eu conheci o equipamento com o instalador de portões automáticos . . . troquei a minha máquina inversora pois esta que comprei de vcs . é pequenina , prática e eficiente . solda como gente grande .	prática , pequenina e eficiente .	muito prática	0.007969428105624642	0.020237345084409754	0.08928571428571427
linda a cortina , apesar de ter comprado por engano pensei que era blackout	linda adorei .	cor	0.0	0	0.0
um jogo subestimado por muita gente , mas além de seguir a história de maneira fiel tem uma jogabilidade muito fluida e divertida .	muito bom	jogo excelente	0.0	0	0.0
produto bom para aparar pelos . de fácil manuseio e limpeza . porém conforme o manual o mesmo precisa de h de carga para  minutos de uso . não recomendo a compra devido a este motivo .	demora pra carregar .	bom	0.0	0	0.0
entrega bem antes do prazo , as panelas são mto boa , porém pequenas , pra uma família grande não recomendo .	boa	panela pequena	0.0	0	0.0
produto de ótima qualidade e um bom preço . entrega realizada antes da data limite .	boa surpresa	ótimo produto	0.0	0	0.0
tudo de bom , produto de primeira linha , gostei muito do produto .	excelente	muito bom	0.0	0	0.0
péssima qualidade produto não vale o que é cobrado	ma qualidade	péss	0.0	0	0.0
muito bom comprar com as americanas , super recomendo para todos , parabéns pra todos que fazem as lojas americanas .	excelente	excelente	0.0	0.1778279410038923	0.5
ooooooooooo desgraças kk , quero meu produto ! ja paguei e até hoje nada , vooc estão tao pobres que estão roubando nosso dinheiro ? quero meu produto aaaaaaaagr . fazendo favor ♥	se eu ver o produto primeiro até posso falar !	o produto e	0.004910024370234594	0.023300535123570106	0.20161290322580647
bom , entrega rápida . produto bom . atende ao proposito	satisfatorio	bom	0.0	0	0.0
chegou antes do prazo , roda games liso no ultra  fps e lol em  fps .	muito bom	muito bom	1.0	0.316227766016838	0.9375
prefiro comprar perto do que pagar caro em frete , pelo amor de deus ! o produto é excelente usado com moderação .	frete não vale a pena	excelente	0.0	0	0.0
produto excelente super recomendo chegou rapidinho entregaram tudo certo	produto muito bom	muito bom	0.7924812503605779	0.19180183554164504	0.6465517241379309
já tinha um outro depilador mas era de outra marcar , deu problema e optei por comprar esse muito bom adorei por ser mais fino , mais fácil de mexer com ele .	adorei o produto	muito bom	0.0	0	0.0
entrega rápida e em perfeitas condições , produto excelente , recomendo sempre	produto muito bom	excelente	0.0	0	0.0
referência no mercado , marca líder de vendas e qualidade insuperável . o que dizer mais ?	sempre apple	excelente	0.0	0	0.0
ótimo produto . esquenta muito , mas cumpre o que promete . recomendo .	gostei muito do produto .	ótimo produto	0.033688423633228826	0.03336574130316504	0.10638297872340426
material do produto é muito simples . quebra com facilidade	não gostei	material	0.0	0	0.0
se eu compra esse combo tem como vcs madarem creatinas no lugar dos bcaas ?	duvida	du du	0.0	0	0.0
cumpre com o que promete . muito bom , lindo de bom , bom é lindo	bom	muito bom	0.0	0.1495348781221221	0.45454545454545453
um produto de boa qualidade que atende minhas necessidades	muito bom	goste muito	0.5	0.1495348781221221	0.25
ainda é muito cedo para avaliar o produto , pois recebi a pouco tempo	bom	produto bom	0.0	0.1495348781221221	0.45454545454545453
o produto é exatamente o que eu preciso e a entrega foi realizada bem antes do previsto no ato da compra . o produto é bem prático e fácil de utilizar .	o produto é exatamente o que eu preciso	goste muito	0.0	0	0.0
o som do cd , do rádio , do mp , são ótimos , mas achei o som do vinil fraco , outra observação é que o toca discos não tem tampa , sofro com a poeira . o lado positivo é que ele é multifuncional pude ouvir minhas fitas cassetes aposentadas ! e bonito .	gostei meio a meio				
produto muito bom , facilita demais a limpeza . nunca mais lavar e por a mão no pano de chão . adorei . gostei tanto que comprei mais dois . um para minha irmã e outro para meu sobrinho . super recomendo .	mop liberdade	ótimo produto	0.0	0	0.0
tapete lindo e de excelente qualidade . ótimo para decorar quartinhos infantis	maravilhosa	lindo	0.0	0	0.0
entrega rápida ainda não instalei . sempre compro na americanas e recebo rápido aprovado eu recomendo .	ótimo produto	ótimo produto	1.0	0.316227766016838	0.9375
a entrega foi excelente é o produto chegou em minha residência com total qualidade !	produto muito bom	excelente	0.0	0	0.0
é um excelente cobertor , d boa qualidade , to satisfeita com o produto . bem fofinho . entrega rapida . americanas ta d parabens .	excelente produto	excelente	0.1319049988210938	0.06541924356118012	0.2631578947368421
remédio muito bom . meus cães não tiveram reação alguma e acabou mesmo com os carrapatos e olha que tinham muuitos . produto chegou antes do previsto pela loja primo pet . muito obrigada !	acaba mesmo com os carrapatos	ótimo produto	0.0	0	0.0
levando em conta o preço do produto , é muito bom . firme , mesmo esticado a  ,  m . gostei muito serviu direitinho . é muito fácil de instalar e chegou mega rápido dessa vez . comprei na segunda e na quarta já tinha chegado .	bah tchê tri legal !	muito bom	0.0	0	0.0
em relação ao preço e ao que o produto oferece , é uma boa escolha	custo-benefício	bom produto	0.0	0	0.0
eu gostei do produto , pelo preço compensa . apenas achei mto grande , poderiam ter feito as bordas menor . eu uso todos os dias , atingiu o que eu buscava .	bom , porém grande !	goste do	0.0	0	0.0
comprei este microondas e com  anos de uso descascou a tinta por dentro e por fora , mesmo sempre usamos produtos indicados no manual para limpeza .	não recomendo .	péss qualidade	0.0	0	0.0
é um briquedo muito util e serve para varias idades .	muito bom	bom	0.1319049988210938	0.06541924356118012	0.2631578947368421
comprei dourado veio outra cor , não gostei . pescima qualidade . nem embalagem tem veio enrolado num plastico bolha .	insatisfeito .	pes pes	0.0	0	0.0
produto maravilhoso . chegou antes do prazo . estamos adorando !	ótimo	excelente	0.0	0	0.0
meu produto tá com nota fiscal emitida mas não saiu disso até hoje . estou aguardando meu produto a um mês já	meu produto não chegou ainda	não recebi	0.033688423633228826	0.03336574130316504	0.10638297872340426
queria saber as medidas , deste produto pois tenho interesse e não tem como comprar sem medidas . pq queria colocar a base em um pé de ferro na máquina sem motor para pessoa idosa .	medida	medidas	0.0	0	0.5
o notebook é bom . apenas algumas observações a serem feitas: - demora para encontrar as redes quando inicializado; - criei dois perfis: um com conta microsoft e outro sem conta . demora um pouco mais para carregar os perfis; - ele não vem com duas partições no hd , apenas com o disco local c .	gostei do notebook				
produto chegou super rápido , e entregue conforme descrição . meu filho gostou bastante .	bom produto	goste muito	0.0	0	0.0
produto do jeito que esperava , meu noivo amou o presente .	muito bom !	goste muito	0.39624062518028896	0.09069748827745895	0.17241379310344826
cadeiras lindas e resistentes . gostei muito do produto !	gostei muito do produto !	excelente produto	0.033688423633228826	0.03336574130316504	0.10638297872340426
gostei muito o preço esta bem em conta eu recomendo .	.	muito bom	0.0	0	0.0
produto simples e funcional . pode ser usado para fazer várias tipos de limpeza , vale muito investir .	ótimo custo benefício	muito bom	0.0	0	0.0
alem de linda a panela atendeu as minhas expectativas e a entrega foi rapida . recomendo !	recomendo	panela excelente	0.0	0	0.0
ótimo produto ! ajudou a reduzir o tártaro e eliminar o mau hálito das minhas gatas !	recomendo !	ótimo produto	0.0	0	0.0
muito bom , limpa sem agredir . tira toda sujeira que fica la no fundo que é difícil de tirar . muito bom vendedor , ótimo atendimento . mais que recomendo .	excelente produto , recomendo a todos	ótimo produto	0.007969428105624642	0.020237345084409754	0.08928571428571427
produto de qualidade e o tecido é super macio . recomendo !	produto excelente	excelente	0.1319049988210938	0.06541924356118012	0.2631578947368421
a minha chegou antes do prazo , a imagem é boa . porém tem  dias que chegou e está apresentando problemas , o aplicativo you tube não entra . o controle as vezes não funciona . e se colocar o you tube pelo navegador trava .	apresentando problema .	não goste	0.0	0	0.0
o celular é muito bom , qualidade excelente e a entrega foi antes do prazo .	produto muito bom !	muito bom	0.2638099976421876	0.11633369384516798	0.4934210526315789
como esperado , o acabamento é perfeito , a instalação foi extremamente fácil e funcionou imediatamente , sem nenhum problema	produto original sempre é melhor	ótimo produto	0.033688423633228826	0.03336574130316504	0.10638297872340426
fiz a compra dia  de dezembro e hoje dia  de janeiro ainda não recebi . minha filha daqui a pouco a está andando e não precisará mais do andador , se é q vou receber !	não recebi o produto até hoje !	não recebi	0.003754937574367746	0.025957555738330737	0.28846153846153844
imprensa não tem o . mínimo cuidado no envio . comprei uma promoção de  unidades vieram todas jogada de qualquer jeito dentro de outra caixa maior fiquei desepcionado ! sem falar que o produto é estremamente frágil . me arrependi muito !	não presta	péss	0.0	0	0.0
estou apaixonada pelo meu kit provençal , muito lindo , ótimo acabamento e muito bem embalado . super delicado e prático , excelente !	produto excelente	lindo !	0.0	0	0.0
recomendo este produto , pois ele corresponde bem; no trabalho , nos estudos e no lazer .	o produto , me atende muito bem .	ótimo produto	0.0004540840805919024	0.007444903200446295	0.06756756756756756
quebrou no segundo dia de uso , não recomendo , produto de pessima qualidade , não comprem dessa marca , prefiram outra .	pessima qualidade	pessim qualidade	0.5	0.1495348781221221	0.25
gostei muito do produto . atende às minhas necessidades .	samsung galaxy tab	goste muito	0.0	0	0.0
ótimo aparelho por um preço melhor ainda , chegou intacto e antes do tempo previsto .	excelente	ótimo aparelho	0.0	0	0.0
excelente produto chegou no prazo muito bem embalado diversão e felicidade a mil , podem comprar sem medo jogo perfeito :	excelente	excelente produto	0.0	0.1495348781221221	0.45454545454545453
referente ao produto moto e xt , apesar do aparelho mostrar ter bom custo x beneficio , apresenta um pouco de lentidão ao executar comandos de um ou outro app , como também o leitor biométrico , que não funciona perfeitamente , que inclusive parou de funcionar .	não gostei do produto	bom custo x	0.0	0	0.0
o avaliador da bicicleta foi o meu neto , que dorme com ela do lado , tanto que gostou .	meu neto adorou	goste muito	0.0	0	0.0
